ID_SPPG,Status_Pengajuan,Status_Operasional,Kota_Kabupaten,Provinsi,Alamat
IPOCOB2V,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDUNG,JAWA BARAT,"Jl Jendral Sudirman no 624, DUNGUS CARIANG, ANDIR, KOTA BANDUNG, JAWA BARAT"
XOQ7N3UQ,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKOHARJO,JAWA TENGAH,"Pijilan RT 04 RW 13 Makamhaji Kartasura Sukoharjo, MAKAMHAJI, KARTASURA, KAB. SUKOHARJO, JAWA TENGAH"
BJLZRAWN,Penentuan KA SPPG,Belum Beroperasi,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA,"Komplek Gumuk Indah Kidul, Jl. Kresno No.8, Jomegatan, Tirtonirmolo, Kec. Kasihan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55251, TIRTONIRMOLO, KASIHAN, KAB. BANTUL, DAERAH ISTIMEWA YOGYAKARTA"
GDEDQP4M,Penentuan KA SPPG,Belum Beroperasi,KAB. BOGOR,JAWA BARAT,"Cipayung Datar, Megamendung, Bogor Regency, West Java 16770, PASIR ANGIN, MEGAMENDUNG, KAB. BOGOR, JAWA BARAT"
XQZCDXHX,Penentuan KA SPPG,Belum Beroperasi,KAB. MAROS,SULAWESI SELATAN,"Jalan Darul Istiqomah, Bontoa, Turikale, , TAROADA, TURIKALE, KAB. MAROS, SULAWESI SELATAN"
EY9TI1BT,Penentuan KA SPPG,Belum Beroperasi,KAB. PAMEKASAN,JAWA TIMUR,"Dusun Gunung Tangis, REK KERREK, PALENGGAAN, KAB. PAMEKASAN, JAWA TIMUR"
QNOMOEVV,Penentuan KA SPPG,Belum Beroperasi,KOTA PALANGKARAYA,KALIMANTAN TENGAH,"JL. GARUDA 5 Gg 4 No. 1, PALANGKA, JEKAN RAYA, KOTA PALANGKARAYA, KALIMANTAN TENGAH"
JOXNNMSN,Penentuan KA SPPG,Belum Beroperasi,KAB. PRINGSEWU,LAMPUNG,"JALAN RAYA SUKOHARJO, SUKOHARJO III, SUKOHARJO, KAB. PRINGSEWU, LAMPUNG"
AH0LWVKB,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Kp. Pamoyanan RT.001 RW.002, WALURAN, WALURAN, KAB. SUKABUMI, JAWA BARAT"
PWA2ECX3,Penentuan KA SPPG,Beroperasi,KOTA TANGERANG SELATAN,BANTEN,"Jl. Tiga Berlian No.88, Ciater, Kec. Serpong, Kota Tangerang Selatan, Banten 15310, CIATER, SERPONG, KOTA TANGERANG SELATAN, BANTEN"
NWDLR391,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMPUNG SELATAN,LAMPUNG,"Purwodadi Simpang RT/RW 004/003 Kec. Tanjung Bintang Kab. Lampung Selatan, PURWODADI SIMPANG, TANJUNG BINTANG, KAB. LAMPUNG SELATAN, LAMPUNG"
TJMZRRFM,Penentuan KA SPPG,Belum Beroperasi,KAB. MAROS,SULAWESI SELATAN,"Jln. Poros Makassar Maros, KM 25, BONTOA, MANDAI, KAB. MAROS, SULAWESI SELATAN"
VRWN87XE,Penentuan KA SPPG,Belum Beroperasi,KAB. SUMBAWA,NUSA TENGGARA BARAT,"Dusun Talemo, Desa Bunga Eja, Kec. Empang, Kab. Sumbawa, Prov. Nusa Tenggara Bar, BUNGA EJA, EMPANG, KAB. SUMBAWA, NUSA TENGGARA BARAT"
MV3THBFC,Penentuan KA SPPG,Belum Beroperasi,KAB. SERANG,BANTEN,"kp. Kubang putih Ds. sukabares, SUKABARES, WARINGINKURUNG, KAB. SERANG, BANTEN"
WMQ1CVMU,Penentuan KA SPPG,Belum Beroperasi,KOTA MAKASSAR,SULAWESI SELATAN,"LR  REWATA II RT003/RW 003, SUDIANG, BIRINGKANAYA, KOTA MAKASSAR, SULAWESI SELATAN"
L6LBEJJC,Penentuan KA SPPG,Belum Beroperasi,KAB. SAMPANG,JAWA TIMUR,"Jl. Raya Batioh Masaran Sampang, MASARAN, BANYUATES, KAB. SAMPANG, JAWA TIMUR"
ZBTPPTP9,Penentuan KA SPPG,Belum Beroperasi,KOTA BATAM,KEPULAUAN RIAU,"Anggrek Mas 1 Blok I No 27, TAMAN BALOI, BATAM KOTA, KOTA BATAM, KEPULAUAN RIAU"
SNLQMYDL,Penentuan KA SPPG,Belum Beroperasi,KOTA BATAM,KEPULAUAN RIAU,"Pantai Mak Dare Kampung Melayu.
RT.01/RW.08. Kelurahan Batu Besar Kecamatan Nongsa Batam, BATU BESAR, NONGSA, KOTA BATAM, KEPULAUAN RIAU"
3ZKVWYWP,Penentuan KA SPPG,Belum Beroperasi,KAB. MAJALENGKA,JAWA BARAT,"Jl. K.H. Abdul Halim No.131, MAJALENGKA KULON, MAJALENGKA, KAB. MAJALENGKA, JAWA BARAT"
EQ8KSWOO,Penentuan KA SPPG,Belum Beroperasi,KOTA BATAM,KEPULAUAN RIAU,"kompleks ruko greenland blok V no.03. batam centre, TELUK TERING, BATAM KOTA, KOTA BATAM, KEPULAUAN RIAU"
FTN2GQPA,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG,JAWA BARAT,"Perumahan Villa Ciwidey Asri
Blok I No.14 Jl.Sukajadi No. 3 (Pasir Pogor) Desa Panyocokan Kec. Ciwidey , PANYOCOKAN, CIWIDEY, KAB. BANDUNG, JAWA BARAT"
IDY3KLOF,Penentuan KA SPPG,Beroperasi,KAB. BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG,"jalan burong mandi dusun kebun sayor rt/rw 008/004, MENGKUBANG, DAMAR, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG"
BGPWPI8Z,Penentuan KA SPPG,Belum Beroperasi,KAB. SUMBAWA,NUSA TENGGARA BARAT,"JALAN BUNG KARNO, Desa/Kelurahan Uma Beringin, Kec. Unter Iwes, Kab. Sumbawa, Provinsi Nusa Tenggara Barat, UMA BERINGIN, UNTER IWES, KAB. SUMBAWA, NUSA TENGGARA BARAT"
7YOKQQ8W,Penentuan KA SPPG,Belum Beroperasi,KAB. BLORA,JAWA TENGAH,"Ds. Ngumbul ,Kec.Todanan , Kab.Pati, NGUMBUL, TODANAN, KAB. BLORA, JAWA TENGAH"
RFUG2HGJ,Penentuan KA SPPG,Belum Beroperasi,KAB. GROBOGAN,JAWA TENGAH,"Ds.Ngabenrejo, Kec.Grobogan , Kab.Grobogan, NGABENREJO, GROBOGAN, KAB. GROBOGAN, JAWA TENGAH"
DQIIJM0Q,Penentuan KA SPPG,Belum Beroperasi,KAB. SERANG,BANTEN,"Kp. Sidilem RT RW 02 01 , TALAGA LUHUR, WARINGINKURUNG, KAB. SERANG, BANTEN"
JKOBG8KY,Penentuan KA SPPG,Beroperasi,KAB. SIDENRENG RAPPANG,SULAWESI SELATAN,"Jln. Poros pare-pare rappang , bangkai , uluale kec. Watang Pulu Kab. Sidenreng Rappang, BANGKAI, WATANG PULU, KAB. SIDENRENG RAPPANG, SULAWESI SELATAN"
0TR18JCY,Penentuan KA SPPG,Belum Beroperasi,KOTA DEPOK,JAWA BARAT,"Jl. Mawar, Blok F III, No. 60A, RT 002/ RW 015, Cinere, CINERE, CINERE, KOTA DEPOK, JAWA BARAT"
WL8UQHBF,Penentuan KA SPPG,Belum Beroperasi,KAB. MAJALENGKA,JAWA BARAT,"Jl pemuda Rt.003 Rw.010 Kelurahan Majalengka Kulon Kecamatan Majalengka Kabupaten Majalengka, MAJALENGKA KULON, MAJALENGKA, KAB. MAJALENGKA, JAWA BARAT"
